kepid,kepoi_name,kepler_name,koi_disposition,koi_prad,,,,,,,,,,,,,,,,,,,,,,,,
6422070,K00852.01,Kepler-704 b,CONFIRMED,2.66,,,,,,,,,,,,,,,,,,,,,,,,
6428700,K00853.01,Kepler-242 b,CONFIRMED,3.01,,,,,,,,,,,,,,,,,,,,,,,,
6428700,K00853.02,Kepler-242 c,CONFIRMED,3.01,,,,,,,,,,,,,,,,,,,,,,,,
5792202,K00841.03,Kepler-27 d,CONFIRMED,2.19,,,,,,,,,,,,,,,,,,,,,,,,
5794379,K00842.01,Kepler-241 b,CONFIRMED,2.31,,,,,,,,,,,,,,,,,,,,,,,,
5794379,K00842.02,Kepler-241 c,CONFIRMED,2.64,,,,,,,,,,,,,,,,,,,,,,,,
5881688,K00843.01,Kepler-696 b,CONFIRMED,6.21,,,,,,,,,,,,,,,,,,,,,,,,
6022556,K00844.01,Kepler-697 b,CONFIRMED,4.35,,,,,,,,,,,,,,,,,,,,,,,,
6032497,K00845.01,Kepler-698 b,CONFIRMED,3.75,,,,,,,,,,,,,,,,,,,,,,,,
6061119,K00846.01,Kepler-699 b,CONFIRMED,13.84,,,,,,,,,,,,,,,,,,,,,,,,
6191521,K00847.01,Kepler-700 b,CONFIRMED,7.59,,,,,,,,,,,,,,,,,,,,,,,,
6267425,K00848.01,,FALSE POSITIVE,26.82,,,,,,,,,,,,,,,,,,,,,,,,
3531558,K00118.01,Kepler-467 b,CONFIRMED,2.29,,,,,,,,,,,,,,,,,,,,,,,,
6276477,K00849.01,Kepler-701 b,CONFIRMED,2.47,,,,,,,,,,,,,,,,,,,,,,,,
6863998,K00867.01,Kepler-709 b,CONFIRMED,3.68,,,,,,,,,,,,,,,,,,,,,,,,
6867155,K00868.01,,CANDIDATE,10.59,,,,,,,,,,,,,,,,,,,,,,,,
6948054,K00869.01,Kepler-245 b,CONFIRMED,2.56,,,,,,,,,,,,,,,,,,,,,,,,
6948054,K00869.02,Kepler-245 d,CONFIRMED,3.03,,,,,,,,,,,,,,,,,,,,,,,,
6948054,K00869.03,Kepler-245 c,CONFIRMED,2.32,,,,,,,,,,,,,,,,,,,,,,,,
6435936,K00854.01,Kepler-705 b,CONFIRMED,1.94,,,,,,,,,,,,,,,,,,,,,,,,
6522242,K00855.01,Kepler-706 b,CONFIRMED,11.38,,,,,,,,,,,,,,,,,,,,,,,,
6526710,K00856.01,,CANDIDATE,14.21,,,,,,,,,,,,,,,,,,,,,,,,
6587280,K00857.01,Kepler-243 b,CONFIRMED,2.47,,,,,,,,,,,,,,,,,,,,,,,,
9471974,K00119.01,Kepler-108 b,CONFIRMED,8.2,,,,,,,,,,,,,,,,,,,,,,,,
6587280,K00857.02,Kepler-243 c,CONFIRMED,2.28,,,,,,,,,,,,,,,,,,,,,,,,
6599919,K00858.01,,CANDIDATE,19.02,,,,,,,,,,,,,,,,,,,,,,,,
6675056,K00859.01,,FALSE POSITIVE,2.66,,,,,,,,,,,,,,,,,,,,,,,,
6685526,K00861.01,Kepler-707 b,CONFIRMED,1.41,,,,,,,,,,,,,,,,,,,,,,,,
6756669,K00862.01,,FALSE POSITIVE,14.62,,,,,,,,,,,,,,,,,,,,,,,,
6784235,K00863.01,Kepler-708 b,CONFIRMED,2.62,,,,,,,,,,,,,,,,,,,,,,,,
6849310,K00864.01,Kepler-244 b,CONFIRMED,3.11,,,,,,,,,,,,,,,,,,,,,,,,
